ENTIDAD,NOMBRE_ENTIDAD,MUNICIPIO,NOMBRE_MUNICIPIO,POBTOT,POBFEM,POBMAS,PEA,TVIVPARHAB,VPH_RADIO,VPH_TV,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_CVJ,% INCLUSION_MUN,% INCLUSION_EST,RANKING
1,Aguascalientes,1,Aguascalientes,948990,486138,460305,485108,266427,221026,256747,136845,116612,251390,178518,130206,80923,56106,0.5956907937675653,0.46252370332702136,7.0
1,Aguascalientes,2,Asientos,51536,26097,25079,21269,12442,8821,11707,2794,1685,10592,4494,3848,590,551,0.40259693868438445,0.46252370332702136,7.0
1,Aguascalientes,3,Calvillo,58250,29584,28430,25854,15471,10658,14566,3994,4715,13602,6537,4736,1380,1350,0.4419595084710462,0.46252370332702136,7.0
1,Aguascalientes,4,Cosío,17000,8626,8187,6919,3887,2711,3629,996,549,3380,1725,1650,221,190,0.43023754394991853,0.46252370332702136,7.0
1,Aguascalientes,5,Jesús María,129929,65492,63978,65608,33101,27184,31811,15659,12479,31302,19879,13441,9283,6570,0.5626147581979731,0.46252370332702136,7.0
1,Aguascalientes,6,Pabellón de Arteaga,47646,24000,23072,21829,11311,8684,10863,4414,3585,10213,6166,4677,1917,1340,0.5094254363991788,0.46252370332702136,7.0
1,Aguascalientes,7,Rincón de Romos,57369,28845,27637,26198,13356,9862,12590,4413,3220,11976,6233,4491,1555,1347,0.46327077301920067,0.46252370332702136,7.0
1,Aguascalientes,8,San José de Gracia,9552,4995,4506,3811,2367,1642,2148,574,472,2088,728,1275,161,113,0.4319109984509224,0.46252370332702136,7.0
1,Aguascalientes,9,Tepezalá,22485,11244,10961,9055,5347,3882,5034,1160,589,4542,2038,1305,256,235,0.3956735864347609,0.46252370332702136,7.0
1,Aguascalientes,10,El Llano,20849,10227,9769,8087,5103,3561,4823,1026,449,4376,1306,981,242,209,0.3695647440503408,0.46252370332702136,7.0
1,Aguascalientes,11,San Francisco de los Romo,61997,31153,30560,29363,16307,12916,15343,4993,3383,15230,8028,7111,2113,2036,0.48481565517194386,0.46252370332702136,7.0
2,Baja California,1,Ensenada,443759,220636,218906,229119,138348,85829,126241,68585,65793,129772,92328,80032,45140,24286,0.5766505077373322,0.548574981303542,2.0
2,Baja California,2,Mexicali,1049771,518195,525488,546192,328660,211714,312300,166429,173587,307686,226199,161765,110431,64956,0.5865795114167291,0.548574981303542,2.0
2,Baja California,3,Tecate,108430,50631,56236,51955,30574,18489,28413,14567,14735,28378,20200,18005,9278,5389,0.5722145904653918,0.548574981303542,2.0
2,Baja California,4,Tijuana,1922518,953320,968110,1050795,576370,385369,542703,300550,300662,545485,423029,316207,204527,114366,0.6039519367381677,0.548574981303542,2.0
