ENTIDAD,NOMBRE_ENTIDAD,LONGITUD,LATITUD,POBTOT,POBFEM,POBMAS,PEA,TVIVPARHAB,VPH_RADIO,VPH_TV,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_CVJ,INCLUSION_EST,RANKING
1,Aguascalientes,-206082,43391,1425603,726401,692484,703101,385119,310947,369261,176868,147738,358691,235652,173721,98641,70047,0.946186879151294,20.0
2,Baja California,-637359,173878,3768921,1862302,1891787,2003226,1144174,737594,1067727,575375,576368,1076040,798971,616109,383600,216559,inf,1.0
3,Baja California Sur,-280906,61761,798444,389564,401137,422424,238084,141587,212745,108734,91561,224661,148439,135410,67899,36161,inf,1.0
4,Campeche,-249148,50230,928353,468301,452676,458236,258474,135507,224870,87608,68630,216864,113845,150782,38478,17964,0.7720881917490926,30.0
5,Coahuila de Zaragoza,-406796,105908,3146722,1579299,1555882,1479883,897369,640444,861269,367650,371984,821760,519194,442516,195770,123998,inf,1.0
6,Colima,-126385,22812,731388,369262,358351,384363,225775,154448,206050,90083,80202,205800,132185,113794,43841,22669,0.8528820238141542,23.0
7,Chiapas,-1950921,336560,5543657,2816787,2678842,2476880,1337571,727549,1029373,212437,159034,937513,291443,429854,61206,32405,inf,1.0
8,Chihuahua,-1292103,333493,3741735,1874993,1834908,1848578,1137297,790101,1063766,487854,460238,1045252,649365,479293,281732,179737,0.6915617119970582,32.0
9,Ciudad de México,-62700,12046,9209944,4804711,4404549,5099560,2756126,2165829,2647768,1649355,1898220,2536367,2084106,1290772,957148,568815,0.9586910008589125,19.0
10,Durango,-615406,141689,1832635,921586,895437,812723,490152,315748,455770,169467,137678,432234,214681,221731,73031,54612,inf,1.0
11,Guanajuato,-885932,179298,6166934,3163941,2984501,2985968,1582759,1130822,1494578,549364,528924,1378899,763593,681037,240648,167623,inf,1.0
12,Guerrero,-671357,115771,3540665,1836870,1696249,1631711,939999,469714,758983,191260,252442,714796,298058,342754,56994,28573,inf,1.0
13,Hidalgo,-460713,93976,3082813,1600199,1479715,1500762,856336,579393,758950,261009,210589,727315,332217,378126,95678,64462,0.8101322976648628,27.0
14,Jalisco,-1063419,208658,8348117,4240415,4084173,4233482,2324931,1694515,2198102,1034338,1009579,2130162,1436541,1197764,573364,375535,inf,1.0
15,México,-485002,91986,16992418,8740213,8245429,8539728,4568229,3377505,4308111,1851786,2123158,4049190,2561454,1559462,822033,572653,0.8838200200585565,21.0
16,Michoacán de Ocampo,-875063,162184,4748839,2435758,2295230,2287118,1280910,855034,1177243,373970,333127,1120623,561258,682965,149652,101484,inf,1.0
17,Morelos,-155563,28500,1971520,1019333,950202,1017175,560312,389690,509598,204809,236456,499492,307760,222788,90818,48206,inf,1.0
18,Nayarit,-297156,60370,1235440,620149,607132,606635,359428,224480,323438,125517,107931,317482,169077,178138,60277,35950,inf,1.0
19,Nuevo León,-478103,119649,5784396,2889480,2883677,2855934,1651729,1128806,1575780,791238,922018,1534806,1150570,805625,490687,306050,inf,1.0
20,Oaxaca,-1030395,177455,4132118,2152665,1969627,1820630,1122147,649040,821687,228797,223517,810631,329529,320552,60685,29779,inf,1.0
21,Puebla,-638659,123389,6583259,3420346,3156809,3194762,1711798,1207034,1515710,505451,490433,1443028,691116,539595,213869,129969,0.8195558943872044,25.0
22,Querétaro,-217809,44466,2368464,1210557,1155058,1231561,667796,478389,622502,320090,289435,606477,429886,381907,183693,106395,0.8382021986862669,24.0
23,Quintana Roo,-192165,42547,1857957,919318,933500,1003444,573678,330733,494260,213562,158665,524842,318707,267062,131708,55875,inf,1.0
24,San Luis Potosí,-650890,141367,2822255,1445281,1366543,1356400,771746,518423,693301,263056,267466,651238,344178,346570,128815,83264,0.7760730873267195,29.0
25,Sinaloa,-588139,134507,3026915,1521213,1478643,1465591,851772,488862,793345,326391,210357,784961,440767,456752,162313,92435,inf,1.0
26,Sonora,-801488,207597,2944742,1465171,1457601,1438594,869853,575876,809545,380286,244681,806225,529542,499299,210596,126175,inf,1.0
27,Tabasco,-227597,42983,2402592,1228061,1172676,1171427,668736,343840,585320,169343,118452,562971,228434,276602,66328,31003,0.807215136705697,28.0
28,Tamaulipas,-641251,156220,3527570,1786187,1726855,1729384,1063990,650517,992607,380627,413006,980818,579575,433534,197057,116533,0.7541264323336232,31.0
29,Tlaxcala,-114874,22325,1342977,692055,648634,637070,340920,246086,311638,96430,97400,289170,131769,124620,27280,18734,0.8812297703392438,22.0
30,Veracruz de Ignacio de la Llave,-1905925,376132,8062549,4176106,3851020,3832469,2381196,1510944,2072066,617187,635370,1964335,958485,911993,268806,133906,inf,1.0
31,Yucatán,-214774,49564,2320883,1178639,1137339,1157298,656322,433513,598319,246217,176327,579216,338756,306063,129173,60129,0.8150722049598182,26.0
32,Zacatecas,-459766,100181,1622135,827274,786378,696905,440277,312897,414379,139096,137832,371037,204553,213699,51601,37571,inf,1.0
